Показатель 2	Показатель 3	Показатель 4	Показатель 5	Показатель|Количество
0.149	0.138	0.497	20	1
0.625	0.073	0.864	97	1
0.569	0.449	0.932	83	1
0.261	0.119	0.999	14	1
0.653	0.108	0.295	33	1
0.021	0.327	0.744	65	1
0.531	0.822	0.417	38	1
0.819	0.114	0.391	2	1
0.943	0.411	0.014	62	1
0.327	0.749	0.802	16	1
0.548	0.361	0.452	54	1
0.069	0.811	0.708	90	1
0.301	0.694	0.071	3	1
0.571	0.96	0.564	23	1
0.886	0.139	0.075	88	1
0.58	0.026	0.968	46	1
0.215	0.627	0.985	1	1
0.343	0.399	0.646	6	1
0.987	0.093	0.648	55	1
0.95	0.741	0.992	43	1
0.314	0.589	0.817	72	1
0.736	0.009	0.184	43	1
0.402	0.713	0.289	51	1
0.748	0.784	0.844	73	1
0.304	0.351	0.604	21	1
0.278	0.925	0.279	96	1
0.729	0.727	0.313	70	1
0.45	0.52	0.27	70	1
0.912	0.77	0.799	60	1
0.877	0.163	0.431	26	1
0.553	0.791	0.67	21	1
0.377	0.536	0.132	27	1
0.814	0.473	0.707	27	1
0.752	0.306	0.976	11	1
0.38	0.174	0.379	51	1
0.632	0.333	0.85	14	1
0.581	0.544	0.922	6	1
0.375	0.192	0.526	69	1
0.578	0.448	0.971	61	1
0.037	0.008	0.836	98	1
0.612	0.213	0.768	44	1
0.403	0.601	0.403	72	1
0.313	0.175	0.92	24	1
0.073	0.946	0.934	62	1
0.074	0.545	0.731	72	1
0.623	0.943	0.079	66	1
0.485	0.59	0.086	6	1
0.815	0.504	0.853	21	1
0.835	0.121	0.903	19	1
0.882	0.946	0.614	92	1
0.667	0.296	0.149	82	1
0.868	0.701	0.611	46	1
0.407	0.735	0.413	37	1
0.031	0.341	0.091	4	1
0.044	0.947	0.049	60	1
0.31	0.906	0.968	77	1
0.881	0.073	0.87	16	1
0.857	0.554	0.056	84	1
0.347	0.935	0.42	91	1
0.626	0.521	0.864	46	1
0.864	0.405	0.796	3	1
0.025	0.389	0.953	66	1
0.792	0.079	0.034	97	1
0.642	0.674	0.858	92	1
0.418	0.272	0.066	22	1
0.013	0.719	0.565	53	1
0.021	0.314	0.229	85	1
0.47	0.904	0.564	84	1
0.994	0.173	0.345	91	1
0.047	0.17	0.448	32	1
0.032	0.375	0.356	64	1
0.442	0.848	0.09	37	1
0.376	0.251	0.528	44	1
0.047	0.811	0.37	99	1
0.125	0.487	0.211	69	1
0.043	0.928	0.473	30	1
0.611	0.985	0.171	44	1
0.554	0.841	0.748	74	1
0.833	0.051	0.473	76	1
0.858	0.043	0.122	27	1
0.953	0.872	0.935	7	1
0.675	0.277	0.087	20	1
0.861	0.332	0.142	20	1
0.5	0.249	0.246	97	1
0.795	0.118	0.021	22	1
0.017	0.641	0.416	63	1
0.027	0.15	0.979	18	1
0.555	0.454	0.302	26	1
0.611	0.323	0.607	61	1
0.626	0.646	0.726	8	1
0.195	0.56	0.94	83	1
0.513	0.1	0.425	44	1
0.891	0.173	0.286	7	1
0.925	0.886	0.407	62	1
0.214	0.546	0.613	46	1
0.712	0.854	0.87	40	1
0.079	0.121	0.503	71	1
0.648	0.522	0.686	49	1
0.859	0.705	0.661	74	1
0.27	0.293	0.446	78	1
0.511	0.081	0.995	4	1
0.782	0.97	0.065	31	1
0.76	0.938	0.253	87	1
0.024	0.594	0.955	21	1
0.351	0.111	0.224	25	1
0.501	0.588	0.757	26	1
0.351	0.133	0.504	80	1
0.472	0.219	0.632	46	1
0.531	0.102	0.819	34	1
0.107	0.365	0.125	26	1
0.796	0.857	0.915	38	1
0.703	0.603	0.578	67	1
0.686	0.467	0.011	32	1
0.963	0.605	0.119	17	1
0.935	0.037	0.808	57	1
0.339	0.845	0.201	46	1
0.094	0.823	0.07	41	1
0.435	0.62	0.713	97	1
0.217	0.657	0.761	65	1
0.474	0.389	0.65	21	1
0.61	0.689	0.745	20	1
0.827	0.413	0.344	95	1
0.64	0.437	0.051	34	1
0.606	0.717	0.258	17	1
0.608	0.16	0.699	88	1
0.317	0.365	0.346	89	1
0.686	0.525	0.089	6	1
0.579	0.036	0.972	71	1
0.914	0.607	0.949	37	1
0.9	0.927	0.393	28	1
