Дней с продажи	Статус клиента	Уровень клиента	Активность клиента	Тип клиента	Последняя покупка	LTV выручка	Периодичность покупок, д. (пп)	Кол-во покупок (пп)	Покупатель	Client_ID	Первая покупка	LTV валовая прибыль	Группа любимых категорий (лк)	Всего любимых категорий (лк)	Самая любимая категория (лк)	Средний чек (пп)	Выручка (пп)	% ВП (пп)	Валовая прибыль (пп)	% редких	Класс редкости
94	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	28.09.2022	18340,35	49	4	"АО ""Веская традиция"" ИНН 27150280743"	CL_11491	29.10.2021	8352,756537037823	Подрамники, рамы-рамы-окрашенные со стеклом | Живопись-масло-профи-Мастер-Класс ЗХК	2	Подрамники, рамы-рамы-окрашенные со стеклом	3490	13961	0,468	6529,441182336787	0,25	2. Энтузиаст
281	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	25.03.2022	8996,749999999998	0	1	"ПАО ""Образ"" ИНН 40204259633"	CL_11501	29.10.2021	4709,336940349675	Графические материалы-маркеры-ручки  | Живопись-Акрил студия - Ладога ЗХК банка | Бумага-разная-офортная | Живопись-Акрил декоративный - Decola ЗХК | Бумага-вывод- в листах	5	Графические материалы-маркеры-ручки 	4132	4132	0,533	2201,735556356962	0,2727272727272727	2. Энтузиаст
533	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	16.07.2021	1952,25	?	?	"ООО ""Немаловажная страница"" ИНН 92778048259"	CL_1151	16.07.2021	1152,5300000000002	?	?	?	?	?	?	?	0,16666666666666666	2. Энтузиаст
428	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	29.10.2021	3196,15	?	?	"ООО ""Безудержный рост"" ИНН 38949565154"	CL_11511	29.10.2021	1611,3000000000002	?	?	?	?	?	?	?	0	1. Стандартный
268	4. Потерянный клиент	3. Перспективный	3. Забытый	Известный клиент	07.04.2022	33038,5	6	3	"ООО ""Ювелирное дело"" ИНН 14020784249"	CL_11521	29.10.2021	16747,757593338083	Мольберты-Настольные | Литература-Практические руководства по живописи и рисунку-Основы | Литература-Практические руководства по живописи и рисунку-Акрил	3	Мольберты-Настольные	8090	24270	0,495	12011,954797753886	0,14285714285714285	2. Энтузиаст
428	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	29.10.2021	2764,5	?	?	"ООО ""Образцовая энергия"" ИНН 85176847923"	CL_11531	29.10.2021	1127,0407790249344	?	?	?	?	?	?	?	0	1. Стандартный
428	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	29.10.2021	6659,05	?	?	"ООО ""Исключительное хозяйство"" ИНН 69304775792"	CL_11541	29.10.2021	3232,79	?	?	?	?	?	?	?	0	1. Стандартный
59	3. Теряемый клиент	3. Перспективный	1. Действующий	Известный клиент	02.11.2022	37364,8	43	6	"ООО ""Крупное основание"" ИНН 66710914107"	CL_11551	30.10.2021	19358,319754061187	Инструменты-макетирование-Ножи-безопасные | Живопись-масло-профи-Мастер-Класс ЗХК | Золочение и реставрация-ВС реставрация | Бумага акварель-блоки-студия	4	Инструменты-макетирование-Ножи-безопасные	5556	33336	0,522	17403,541354356927	0,10344827586206896	2. Энтузиаст
195	4. Потерянный клиент	3. Перспективный	3. Забытый	Известный клиент	19.06.2022	25605,1	35	3	"ООО ""Ряд"" ИНН 79432054109"	CL_11561	30.10.2021	12914,97196857438	Живопись-акварель-наборы | Графические материалы-маркеры-ручки  | Живопись-Акрил студия - Ладога ЗХК банка	3	Живопись-акварель-наборы	7057	21172	0,511	10809,68448566713	0,21428571428571427	2. Энтузиаст
310	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	24.02.2022	10044,35	0	1	"ООО ""Центр"" ИНН 24338028652"	CL_11571	30.10.2021	4311,849999999999	Мольберты-Хлопушки	1	Мольберты-Хлопушки	6465	6465	0,368	2378,0799999999995	0,2	2. Энтузиаст
310	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	24.02.2022	12562,6	0	1	"ООО ""Неземной ветер"" ИНН 19095274524"	CL_11581	30.10.2021	6888,014923790413	ДПИ-Направления-Дерево-инструменты	1	ДПИ-Направления-Дерево-инструменты	1649	1649	0,655	1080,05	0,0625	1. Стандартный
98	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	24.09.2022	14729,449999999997	16	3	"ООО ""Сказочный лидер"" ИНН 70387637118"	CL_11591	30.10.2021	7829,260863073117	ДПИ-Трафареты-Мотивы, трафареты | ДПИ-Направления-Граффити-краски | Живопись-Акрил студия - Ладога ЗХК банка | Живопись-Акрил аэрозоль Maimeri Idea 	4	ДПИ-Трафареты-Мотивы, трафареты	4181	12542	0,544	6819,170863073117	0	1. Стандартный
236	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	09.05.2022	12759,45	14	2	"ООО ""Действие"" ИНН 38225451803"	CL_11601	30.10.2021	6385,85833155505	Графические материалы-чернографитовые-механические/цанговые | ДПИ-Направления-Лепка-Пластика | Графические материалы-маркеры-маркеры	3	Графические материалы-чернографитовые-механические/цанговые	1324	2647	0,461	1219,3700000000003	0	1. Стандартный
532	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	17.07.2021	543,2	?	?	"АО ""Солидная стена"" ИНН 77397708204"	CL_1161	17.07.2021	265,66	?	?	?	?	?	?	?	0	1. Стандартный
47	2. Рабочий клиент	2. Важный	1. Действующий	Известный клиент	14.11.2022	93122,95000000008	49	4	"ООО ""Литература"" ИНН 34532395080"	CL_11611	30.10.2021	43873,77404487195	ВС прочие - расформировать | Живопись-Акрил студия - Ладога ЗХК банка | Живопись-акварель-тубы/кюветы | Живопись-Акрил аэрозоль Ferrario Artist's	4	ВС прочие - расформировать	10244	40976	0,452	18532,287885002985	0,16666666666666666	2. Энтузиаст
6	2. Рабочий клиент	2. Важный	1. Действующий	Известный клиент	25.12.2022	103264,2	31	10	"АО ""Автор"" ИНН 22413839866"	CL_11621	31.10.2021	45929,95244202412	Бумага-вывод- в листах | Бумага рисовальная-рулоны | Бумага-разная-офортная	3	Бумага-вывод- в листах	5464	54642	0,468	25594,852545583923	0,1111111111111111	2. Энтузиаст
13	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	18.12.2022	50152,65000000001	42	7	"ООО ""Серьезный принцип"" ИНН 74155039683"	CL_11631	31.10.2021	26238,399526244368	Графические материалы-акварельные-штуки | Сумки-Вкладыши для портфолио	2	Графические материалы-акварельные-штуки	5299	37096	0,52	19278,543370880438	0,0967741935483871	1. Стандартный
380	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	16.12.2021	11349	?	?	"ООО ""Срок"" ИНН 13642021939"	CL_11641	31.10.2021	5510,65	?	?	?	?	?	?	?	0,125	2. Энтузиаст
14	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	17.12.2022	51002,85	68	4	"ООО ""Ослепительное начало"" ИНН 52804327038"	CL_11651	31.10.2021	26579,511523238434	Живопись-Наборы темперы | Кисти-Универсальные-Щетина | Живопись-Акрил декоративный - Рубенс-Деко Nerchau	3	Живопись-Наборы темперы	11291	45166	0,517	23368,306669070884	0,047619047619047616	1. Стандартный
61	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	31.10.2022	44580,9	70	3	"ООО ""План"" ИНН 36192607080"	CL_11661	31.10.2021	23678,461717561877	ВС золочение окончательная обработка | Золочение и реставрация-патинирование, краска 	2	ВС золочение окончательная обработка	9592	28777	0,529	15221,065924737557	0,12903225806451613	2. Энтузиаст
413	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	13.11.2021	14886,5	?	?	"ООО ""Принцип"" ИНН 45407861539"	CL_11671	01.11.2021	7865,6604276217295	?	?	?	?	?	?	?	0,16666666666666666	2. Энтузиаст
37	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	24.11.2022	13317,1	74	4	"ООО ""Смысл"" ИНН 43600080221"	CL_11681	01.11.2021	6236,512155804987	Графические материалы-акварельные-наборы | Живопись-акварель-наборы | ДПИ-Направления-Лепка-Пластика	3	Графические материалы-акварельные-наборы	2514	10054	0,494	4969,602155804988	0	1. Стандартный
304	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	02.03.2022	5217,150000000001	0	1	"АО ""Могучое строительство"" ИНН 30652054537"	CL_11691	01.11.2021	2890,5600000000004	Золочение и реставрация-патинирование, краска  | Золочение и реставрация-ВС реставрация	2	Золочение и реставрация-патинирование, краска 	3195	3195	0,545	1740,15	0,125	2. Энтузиаст
12	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	19.12.2022	65949,65000000002	31	10	"АО ""Элемент"" ИНН 6607244000"	CL_11701	01.11.2021	36719,52541200711	Основы-холст на подрамнике-Студенческий-Смешанный | Кисти-Масло-Синтетика	2	Основы-холст на подрамнике-Студенческий-Смешанный	5348	53484	0,565	30205,56058067579	0,10869565217391304	2. Энтузиаст
20	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	11.12.2022	31692,7	32	9	"ООО ""Весомый воздух"" ИНН 46826467196"	CL_1171	17.07.2021	15932,005000625935	Живопись-масло-студия-Студия Гамма | Живопись-масло-студия-Сонет ЗХК	2	Живопись-масло-студия-Студия Гамма	2828	25451	0,514	13093,465000625934	0,043478260869565216	1. Стандартный
199	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	15.06.2022	21301,2	59	2	"ООО ""Жгучое окно"" ИНН 96893269089"	CL_11711	02.11.2021	8836,973950322212	Аэрография - Оборудование - аэрографы | Литература-Практические руководства по живописи и рисунку-Акрил | Аэрография - ВС очистители	3	Аэрография - Оборудование - аэрографы	9899	19798	0,414	8199,583950322212	0,6	3. Любитель экзотики
16	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	15.12.2022	54809,3	30	7	"ПАО ""Анализ"" ИНН 41034235783"	CL_11721	02.11.2021	24997,8202256242	Гипс-Посуда | Инструменты-макетирование-Коврики для резки | Бумага пастель-листы-студия	3	Гипс-Посуда	7391	51737	0,453	23424,200225624205	0,058823529411764705	1. Стандартный
135	4. Потерянный клиент	3. Перспективный	2. Приостановленный	Известный клиент	18.08.2022	40746,85	66	2	"АО ""Время"" ИНН 23813900486"	CL_11731	02.11.2021	20232,00601390776	Живопись-темпера-воско-масляная  Гамма  | Бумага-вывод- из серий_Уценка группы | z-Уценка	3	Живопись-темпера-воско-масляная  Гамма 	14885	29770	0,501	14922,040598989115	0	1. Стандартный
160	1. Разовый	3. Перспективный	2. Приостановленный	Известный клиент	24.07.2022	35857,299999999996	0	1	"ООО ""Фотография"" ИНН 44937814712"	CL_11741	02.11.2021	17920,6045893646	Живопись-Акрил декоративный - Деколор Таир | Кисти-Акварель-Синтетика | ВС акрил грунтовки | Кисти-Масло-Синтетика	4	Живопись-Акрил декоративный - Деколор Таир	13528	13528	0,507	6858,58	0,10526315789473684	2. Энтузиаст
266	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	09.04.2022	11138,05	0	1	"ПАО ""Серьезная операция"" ИНН 84953650859"	CL_11751	02.11.2021	5054,328263268133	ДПИ-Направления-Керамика-Краски, контуры | ДПИ-Направления-Стекло-Краски, контуры	2	ДПИ-Направления-Керамика-Краски, контуры	2376	2376	0,505	1200,0770723827395	0,09090909090909091	1. Стандартный
115	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	07.09.2022	11941,499999999998	89	2	"ООО ""Компания"" ИНН 94899189285"	CL_11761	02.11.2021	6278,535338700116	Графические материалы-маркеры-маркеры | Живопись-темпера-ПВА ЗХК | ДПИ-Клей-Карандаши, липучка	3	Графические материалы-маркеры-маркеры	5443	10887	0,522	5680,519999999999	0	1. Стандартный
53	4. Потерянный клиент	3. Перспективный	1. Действующий	Известный клиент	08.11.2022	30536,549999999996	7	2	"ПАО ""Безбрежное сердце"" ИНН 67312753100"	CL_11771	02.11.2021	16658,969999999994	Кисти-Акварель-Наборы | Сумки-на молнии ткань/кожа | Живопись-гуашь-наборы	3	Кисти-Акварель-Наборы	15026	30053	0,546	16400,339999999993	0,125	2. Энтузиаст
19	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	12.12.2022	25360,85	57	5	"ООО ""Деятельность"" ИНН 9655522754"	CL_11781	03.11.2021	12559,954513265899	Кисти-Акварель-Колонок-Соболь | Бумага акварель-блоки-студия	2	Кисти-Акварель-Колонок-Соболь	4721	23605	0,495	11675,1381154738	0,1	1. Стандартный
40	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	21.11.2022	24929	35	2	"ООО ""Основательный ответ"" ИНН 14054847865"	CL_11791	03.11.2021	12447,691523238438	ДПИ-Трафареты-Мотивы, трафареты | Живопись-акварель-наборы | Графические материалы-маркеры-маркеры	3	ДПИ-Трафареты-Мотивы, трафареты	10706	21413	0,496	10624,104450855697	0,14285714285714285	2. Энтузиаст
7	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	24.12.2022	48257,8	39	7	"ООО ""Невероятный ключ"" ИНН 30069251619"	CL_11801	03.11.2021	22620,277130168088	Графические материалы-акварельные-штуки	1	Графические материалы-акварельные-штуки	5542	38791	0,463	17968,402667834376	0,16	2. Энтузиаст
30	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	01.12.2022	38377,35	91	2	"ООО ""Грандиозный переход"" ИНН 47273828792"	CL_1181	17.07.2021	20001,42847689926	Кисти-Масло-Колонок | Графические материалы-чернографитовые-штуки | Графические материалы-мягкие прочие-уголь	3	Кисти-Масло-Колонок	7389	14777	0,561	8287,736418315906	0,041666666666666664	1. Стандартный
263	4. Потерянный клиент	3. Перспективный	3. Забытый	Известный клиент	12.04.2022	26737,65	4	2	"ООО ""Рынок"" ИНН 88111288431"	CL_11811	03.11.2021	13061,768092158272	Бумага рисовальная-листы | Золочение и реставрация-патинирование, краска 	2	Бумага рисовальная-листы	5354	10708	0,469	5020,686471698202	0	1. Стандартный
263	1. Разовый	3. Перспективный	3. Забытый	Известный клиент	12.04.2022	39224,85000000001	0	1	"ПАО ""Богатый круг"" ИНН 61695892354"	CL_11821	03.11.2021	20098,790883459227	Сумки-Чехлы для подрамников | Основы-холст на подрамнике-Базовый	2	Сумки-Чехлы для подрамников	22570	22570	0,5	11275,569999999998	0,1	1. Стандартный
119	4. Потерянный клиент	3. Перспективный	2. Приостановленный	Известный клиент	03.09.2022	44512,450000000004	69	2	"ООО ""Сильный выбор"" ИНН 39859453161"	CL_11831	03.11.2021	22393,102197829077	Живопись-масло-студия-Ладога ЗХК | Основы-холст на картоне | Бумага-Картон-пенокартон	3	Живопись-масло-студия-Ладога ЗХК	13262	26525	0,498	13206,54219782908	0,038461538461538464	1. Стандартный
109	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	13.09.2022	14142,600000000002	45	2	"ООО ""Массовое дерево"" ИНН 33506009790"	CL_11841	03.11.2021	7690,181829328658	Основы-холст на подрамнике-Базовый | Бумага пастель-листы-стандарт	2	Основы-холст на подрамнике-Базовый	4627	9254	0,588	5437,715021012046	0	1. Стандартный
422	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	04.11.2021	6329,25	?	?	"ООО ""Серьезная слава"" ИНН 63218867838"	CL_11851	04.11.2021	3547,5055287581913	?	?	?	?	?	?	?	0,14285714285714285	2. Энтузиаст
40	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	21.11.2022	19594,45	48	6	"ООО ""Чай"" ИНН 8261900596"	CL_11861	04.11.2021	8114,7031712972785	Сумки-на молнии ткань/кожа	1	Сумки-на молнии ткань/кожа	3200	19202	0,409	7860,743171297279	0	1. Стандартный
25	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	06.12.2022	41542,899999999994	37	5	"ООО ""Внушительная кухня"" ИНН 8508954214"	CL_11871	04.11.2021	19155,3388497008	Золочение и реставрация-ВС реставрация | ВС масло растворители очистители | ВС прочие - расформировать	3	Золочение и реставрация-ВС реставрация	7539	37697	0,454	17102,731297170685	0,2727272727272727	2. Энтузиаст
12	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	19.12.2022	64290,299999999996	21	15	"ООО ""Бездонная картина"" ИНН 98315421353"	CL_11881	04.11.2021	32585,950318820112	Бумага-Картон-пенокартон | Графические материалы-маркеры-маркеры	2	Бумага-Картон-пенокартон	2502	37524	0,498	18702,858357458394	0,12195121951219512	2. Энтузиаст
290	1. Разовый	3. Перспективный	3. Забытый	Известный клиент	16.03.2022	27033,600000000002	0	1	"ООО ""Доход"" ИНН 5738834153"	CL_11891	05.11.2021	13333,602572925158	Живопись-темпера-ПВА ЗХК | ВС акрил грунтовки | Бумага-вывод-Альбомы,блокноты,блоки,склейки,папки | Бумага рисовальная-блоки, альбомы	4	Живопись-темпера-ПВА ЗХК	6348	6348	0,45	2855,6000000000004	0	1. Стандартный
245	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	30.04.2022	22661,450000000004	18	4	"ООО ""Неземное положение"" ИНН 59218839232"	CL_11901	05.11.2021	11006,99334840368	Живопись-Акрил студия - художественный  ГлянцевыйГамма европодвес | Кисти-Масло-Синтетика | Живопись-Акрил студия - Арт Таир банка | Живопись-Акрил студия - Ладога ЗХК банка	4	Живопись-Акрил студия - художественный  ГлянцевыйГамма европодвес	4094	16376	0,512	8390,311964410967	0,1	1. Стандартный
112	1. Разовый	4. Начинающий	2. Приостановленный	Известный клиент	10.09.2022	8754,249999999998	0	1	"ООО ""Безупречная деталь"" ИНН 60217351325"	CL_1191	17.07.2021	4667,330438123284	Живопись-акварель-наборы | Бумага акварель-блоки-студия	2	Живопись-акварель-наборы	4564	4564	0,539	2460,1600000000003	0	1. Стандартный
139	1. Разовый	3. Перспективный	2. Приостановленный	Известный клиент	14.08.2022	25700,15000000001	0	1	"ООО ""Невозможное хозяйство"" ИНН 39040346447"	CL_11911	05.11.2021	13206,588978546917	Живопись-масло-студия-Ладога ЗХК | ВС масло растворители очистители | Живопись-масло-профи-Мастер-Класс ЗХК | Живопись-масло-студия-Студия Гамма	4	Живопись-масло-студия-Ладога ЗХК	21903	21903	0,521	11403,538505612203	0,0625	1. Стандартный
177	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	07.07.2022	11956,25	15	3	"ООО ""Компания"" ИНН 25579308263"	CL_11921	05.11.2021	6428,7699999999995	ДПИ-Направления-Стекло-ВС | ДПИ-Направления-Ткань-краски, контуры	2	ДПИ-Направления-Стекло-ВС	3114	9342	0,523	4887,9	0	1. Стандартный
37	1. Разовый	4. Начинающий	1. Действующий	Известный клиент	24.11.2022	21663,5	0	1	"ООО ""Записной участок"" ИНН 76126334128"	CL_11931	05.11.2021	9658,509999999998	Основы-холст на подрамнике-Базовый	1	Основы-холст на подрамнике-Базовый	18454	18454	0,42	7748,219999999999	0	1. Стандартный
137	1. Разовый	4. Начинающий	2. Приостановленный	Известный клиент	16.08.2022	4457,150000000001	0	1	"ПАО ""Мощное дерево"" ИНН 43410207442"	CL_11941	05.11.2021	2409,5575105060234	Графические материалы-пастель-сухая | Графические материалы-мягкие прочие-уголь | Бумага пастель-блоки-студия	3	Графические материалы-пастель-сухая	1518	1518	0,494	749,3675105060229	0,125	2. Энтузиаст
278	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	28.03.2022	6703,2	0	1	"ООО ""Неповторимый костюм"" ИНН 129407929"	CL_11951	05.11.2021	3544,64	Графические материалы-чернографитовые-наборы	1	Графические материалы-чернографитовые-наборы	2265	2265	0,456	1033,2199999999998	0	1. Стандартный
64	3. Теряемый клиент	4. Начинающий	1. Действующий	Известный клиент	28.10.2022	21899,649999999998	50	5	"ООО ""Порядок"" ИНН 52640304645"	CL_11961	05.11.2021	10748,637639370021	Основы-Картон грунтованный | Основы-холст на картоне | Живопись-акварель-наборы	3	Основы-Картон грунтованный	2111	10554	0,475	5015,373470174837	0	1. Стандартный
43	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	18.11.2022	16394	40	6	"ООО ""Вопрос"" ИНН 88376465333"	CL_11971	05.11.2021	8063,76219061642	Живопись-гуашь, Таир, банка 100мл | Живопись-Акрил студия - Ладога ЗХК банка | Живопись-темпера-ПВА ЗХК	3	Живопись-гуашь, Таир, банка 100мл	2493	14958	0,488	7294,40219061642	0	1. Стандартный
231	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	14.05.2022	17450,65	23	4	"ПАО ""Хозяйство"" ИНН 31991658027"	CL_11981	06.11.2021	7856,953158345605	ДПИ-Направления-Стекло-Краски, контуры | Живопись-Акрил стандарт - Polycolor Maimeri банка | z-Уценка | Подрамники, рамы-рамы-окрашенные со стеклом	4	ДПИ-Направления-Стекло-Краски, контуры	3030	12121	0,469	5686,6	0,06666666666666667	1. Стандартный
100	4. Потерянный клиент	3. Перспективный	2. Приостановленный	Известный клиент	22.09.2022	74272,34999999999	29	7	"ПАО ""Богатырская победа"" ИНН 79292925848"	CL_11991	06.11.2021	36630,3707862376	z-Уценка | Основы-холст на подрамнике-Базовый	2	z-Уценка	6524	45667	0,522	23833,279999999995	0,04	1. Стандартный
57	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	04.11.2022	33266,65	63	4	"ООО ""Убедительное внимание"" ИНН 48362406341"	CL_12001	06.11.2021	16691,372810009514	ДПИ-Направления-Декупаж-Грунты | ДПИ-Краска-Марморирование	2	ДПИ-Направления-Декупаж-Грунты	8150	32602	0,503	16385,712810009518	0,23333333333333334	2. Энтузиаст
320	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	14.02.2022	24855,249999999996	0	1	"ООО ""Схема"" ИНН 50055014875"	CL_1201	17.07.2021	12169,13988239226	Живопись-Акрил стандарт - Polycolor Maimeri банка | Живопись-Акрил стандарт - Polycolor Pastell  Maimeri | Кисти-Акварель-Синтетика | Живопись-Акрил стандарт - System3 DR туба	4	Живопись-Акрил стандарт - Polycolor Maimeri банка	6784	6784	0,51	3459,3236094205613	0,125	2. Энтузиаст
420	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	06.11.2021	630,5	?	?	"ПАО ""Содержание"" ИНН 24946720143"	CL_12011	06.11.2021	267,2	?	?	?	?	?	?	?	0	1. Стандартный
117	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	05.09.2022	10392,15	65	2	"ПАО ""Потрясающое внимание"" ИНН 48569472738"	CL_12021	07.11.2021	5426,740634896845	Живопись-Акрил студия - Арт Таир банка | Подрамники, рамы-рамы-окрашенные со стеклом | Кисти-Масло-Синтетика	3	Живопись-Акрил студия - Арт Таир банка	1981	3962	0,505	2000,4396314995784	0,21428571428571427	2. Энтузиаст
419	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	07.11.2021	8031,6	?	?	"ПАО ""Идея"" ИНН 91444097764"	CL_12031	07.11.2021	4928,347726587271	?	?	?	?	?	?	?	0	1. Стандартный
32	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	29.11.2022	27998,799999999996	58	5	"ООО ""Наибольшая линия"" ИНН 83267909254"	CL_12041	07.11.2021	13044,987139094059	Живопись-масло-профи-Мастер-Класс ЗХК | ВС масло растворители очистители | Живопись-масло-студия-Сонет ЗХК	3	Живопись-масло-профи-Мастер-Класс ЗХК	5091	25453	0,475	12100,00713909406	0,043478260869565216	1. Стандартный
157	4. Потерянный клиент	2. Важный	2. Приостановленный	Известный клиент	27.07.2022	102345,20000000001	23	6	"АО ""Тотальный чай"" ИНН 10200682997"	CL_12051	08.11.2021	48788,22414476549	Мольберты-Лира | ДПИ-Направления-Ткань-краски, контуры	2	Мольберты-Лира	10236	61418	0,465	28530,539999999997	0,25925925925925924	2. Энтузиаст
102	1. Разовый	4. Начинающий	2. Приостановленный	Известный клиент	20.09.2022	17770,95	0	1	"ООО ""Крепкий результат"" ИНН 75383157310"	CL_12061	08.11.2021	8093,353860313241	Живопись-масло-профи-Мастер-Класс ЗХК	1	Живопись-масло-профи-Мастер-Класс ЗХК	6655	6655	0,433	2878,7000000000003	0,2727272727272727	2. Энтузиаст
81	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	11.10.2022	23872,75	88	2	"ООО ""Трава"" ИНН 37437725818"	CL_12071	08.11.2021	11857,719767198885	Кисти-Масло-Синтетика | Живопись-масло-студия-Ладога ЗХК | Живопись-масло-профи-Мастер-Класс ЗХК | Графические материалы-маркеры-ручки 	4	Кисти-Масло-Синтетика	6548	13096	0,466	6106,323132939431	0,07142857142857142	1. Стандартный
319	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	15.02.2022	16002,05	0	1	"ООО ""Отборное направление"" ИНН 78074231967"	CL_12081	08.11.2021	8136,960111646952	ДПИ-Направления-Ткань-наборы | Живопись-Акрил декоративный - Decola ЗХК | Канцелярские товары-Кнопки, скрепки	3	ДПИ-Направления-Ткань-наборы	3581	3581	0,449	1607,19	0,2	2. Энтузиаст
210	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	04.06.2022	5691,499999999999	33	2	"ООО ""Комната"" ИНН 25669901783"	CL_12091	08.11.2021	2568,8799999999997	Графические материалы-маркеры-маркеры | Графические материалы-пастель-масляная	2	Графические материалы-маркеры-маркеры	1767	3535	0,467	1651,1799999999998	0,25	2. Энтузиаст
757	5. Прекратил работу	3. Перспективный	3. Забытый	Известный клиент	04.12.2020	45465,8	?	?	"ООО ""Густая стоимость"" ИНН 45996188085"	CL_121	04.12.2020	20550,18674321664	?	?	?	?	?	?	?	0	1. Стандартный
57	4. Потерянный клиент	3. Перспективный	1. Действующий	Известный клиент	04.11.2022	49182,54999999999	32	8	"АО ""Неограниченное мнение"" ИНН 14459410938"	CL_12101	08.11.2021	24564,317623986095	Подрамники, рамы-Подрамники | Бумага пастель-листы-профи	2	Подрамники, рамы-Подрамники	4978	39826	0,502	19973,22924968801	0,03225806451612903	1. Стандартный
66	4. Потерянный клиент	3. Перспективный	1. Действующий	Известный клиент	26.10.2022	65661,55000000002	24	10	"АО ""Деятельность"" ИНН 33234350472"	CL_1211	17.07.2021	31497,11124504026	Живопись-масло-студия-Ладога ЗХК | Живопись-масло-профи-Мастер-Класс ЗХК	2	Живопись-масло-студия-Ладога ЗХК	5306	53065	0,477	25304,73292155452	0,05	1. Стандартный
58	1. Разовый	4. Начинающий	1. Действующий	Известный клиент	03.11.2022	14773,099999999999	0	1	"ООО ""Машина"" ИНН 24919006540"	CL_12111	08.11.2021	7427,550863073119	Основы-холст на подрамнике-Студенческий-Лен | Основы-холст на подрамнике-Студенческий-Смешанный	2	Основы-холст на подрамнике-Студенческий-Лен	5839	5839	0,456	2663,185237093294	0,0625	1. Стандартный
333	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	01.02.2022	11649,700000000003	0	1	"ООО ""Поток"" ИНН 20566803567"	CL_12121	08.11.2021	6808,4759392827045	Бумага техническая-листы | Черчение-Линейки	2	Бумага техническая-листы	4089	4089	0,466	1904,785939282705	0	1. Стандартный
418	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	08.11.2021	1522,9	?	?	"ООО ""Глубокое развитие"" ИНН 72405708093"	CL_12131	08.11.2021	721,6899999999998	?	?	?	?	?	?	?	0	1. Стандартный
66	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	26.10.2022	13241,05	65	3	"ООО ""Утро"" ИНН 28884571145"	CL_12141	09.11.2021	6512,319005666391	Основы-холст на подрамнике-Студенческий-Хлопок | Живопись-масло-студия-Студия Гамма	2	Основы-холст на подрамнике-Студенческий-Хлопок	2618	7853	0,49	3845,9800139460217	0	1. Стандартный
